note,velocity,position,duration
59,46,1722,1047
66,46,1762,1007
70,60,1802,967
73,61,1842,808
78,61,1882,768
82,75,1922,728
83,64,2650,110
73,56,2767,1073
80,66,2767,1073
59,44,2890,950
65,44,2890,950
68,58,2890,950
66,54,3842,492
73,61,3842,728
80,71,3842,728
65,50,4334,475
82,64,4570,110
78,64,4687,598
61,52,4809,476
59,50,5285,475
73,65,5285,150
71,64,5445,145
70,64,5600,150
56,49,5762,1918
71,69,5762,253
71,64,6015,110
78,64,6133,596
80,67,6729,476
82,65,7205,475
71,61,7580,830
75,61,7633,777
78,61,7652,758
49,52,7682,967
83,75,7682,728
66,74,8410,110
78,88,8410,117
68,74,8527,115
80,88,8527,122
38,77,8649,476
50,92,8649,476
69,77,8649,225
81,91,8649,239
71,74,8888,110
83,88,8888,117
69,74,9005,227
81,88,9005,241
40,75,9125,475
52,90,9125,475
68,74,9246,109
80,88,9246,116
66,74,9362,223
78,88,9362,238
42,78,9602,130
78,85,9602,130
49,73,9739,109
73,80,9739,109
54,73,9856,109
66,80,9856,109
49,73,9973,114
78,80,9973,114
54,74,10094,114
73,81,10094,114
49,73,10215,108
66,80,10215,108
54,73,10331,109
78,80,10331,109
49,73,10447,115
73,80,10447,115
42,76,10570,116
78,83,10570,116
49,73,10693,108
73,80,10693,108
54,73,10809,109
66,80,10809,109
49,73,10925,113
78,80,10925,113
54,74,11046,113
73,81,11046,113
49,73,11166,109
66,80,11166,109
54,73,11282,109
68,72,11282,223
80,86,11282,238
49,73,11399,114
47,78,11522,130
70,77,11522,130
82,91,11522,137
54,73,11659,109
75,80,11659,109
59,73,11776,109
70,80,11776,109
54,73,11893,114
82,80,11893,114
59,74,12014,114
75,81,12014,114
54,73,12135,108
70,80,12135,108
59,73,12251,109
82,80,12251,109
54,73,12367,115
75,80,12367,115
47,76,12490,116
82,83,12490,116
54,73,12613,108
75,80,12613,108
59,73,12729,109
70,80,12729,109
54,73,12845,113
82,80,12845,113
59,74,12966,113
75,81,12966,113
54,73,13086,109
70,80,13086,116
59,73,13202,109
70,72,13202,223
82,86,13202,238
54,73,13319,114
49,78,13442,130
68,77,13442,130
80,91,13442,137
56,73,13579,109
73,80,13579,109
61,73,13696,109
68,80,13696,109
56,73,13813,114
80,80,13813,114
61,74,13934,114
73,81,13934,114
56,73,14055,108
68,80,14055,108
61,73,14171,109
80,80,14171,109
56,73,14287,115
73,80,14287,115
49,76,14410,116
80,83,14410,116
56,73,14533,108
73,80,14533,108
61,73,14649,109
68,80,14649,109
56,73,14765,113
80,80,14765,113
61,74,14886,113
73,81,14886,113
56,73,15006,109
68,80,15006,116
61,73,15122,109
68,72,15122,238
80,82,15122,238
56,73,15239,114
51,78,15362,130
68,77,15362,253
80,87,15362,253
58,73,15499,109
63,73,15615,110
68,72,15615,239
80,82,15615,239
58,73,15733,114
63,74,15854,114
68,73,15854,114
80,87,15854,121
58,73,15975,108
70,72,15975,108
82,86,15975,115
63,73,16090,110
68,72,16090,225
80,86,16090,239
58,73,16207,115
63,76,16329,476
87,83,16329,80
85,80,16414,73
84,80,16492,72
82,80,16569,72
80,80,16646,73
79,80,16724,76
51,81,16805,475
77,81,16805,77
75,80,16887,73
73,80,16965,72
72,80,17042,73
70,80,17120,72
68,80,17198,77
32,83,17282,370
51,74,17282,239
55,74,17282,239
58,94,17282,253
58,87,17535,239
44,67,17652,243
58,88,17774,236
44,67,17895,232
58,87,18010,239
44,67,18127,115
34,89,18249,356
58,97,18249,239
58,87,18488,237
46,67,18605,241
58,88,18725,237
46,67,18846,232
58,87,18962,223
46,67,19078,115
36,84,19202,130
63,92,19202,370
43,67,19339,109
48,67,19456,109
51,67,19572,115
63,87,19572,115
55,68,19694,114
58,88,19694,353
51,67,19815,108
48,67,19931,224
58,87,20047,115
34,82,20170,116
56,89,20170,355
41,67,20293,108
46,67,20409,109
36,79,20525,357
55,86,20525,120
55,87,20645,475
46,81,20882,109
34,79,20999,114
32,83,21122,370
51,82,21122,239
55,96,21122,253
58,87,21375,239
44,64,21492,243
58,88,21614,236
44,64,21735,232
58,87,21850,239
44,64,21967,115
34,82,22089,356
58,90,22089,239
58,87,22328,237
46,64,22445,241
58,88,22565,237
46,64,22686,232
58,87,22802,223
46,64,22918,115
36,84,23042,130
63,92,23042,370
43,64,23179,109
48,64,23296,109
51,64,23412,115
63,87,23412,115
55,73,23534,114
58,88,23534,353
51,64,23655,108
48,64,23771,224
56,81,23887,115
34,82,24010,116
55,84,24010,355
41,67,24133,108
46,67,24249,109
36,65,24365,357
56,81,24365,113
58,88,24486,474
46,67,24722,109
34,79,24839,114
32,91,24962,370
51,86,24962,239
55,100,24962,253
63,87,25215,117
44,68,25332,243
63,87,25332,122
63,88,25454,236
44,68,25575,232
63,87,25690,239
44,68,25807,115
34,82,25929,356
63,90,25929,239
63,87,26168,223
46,68,26285,241
58,88,26406,236
46,68,26526,232
58,87,26642,238
46,68,26758,115
36,84,26882,130
58,78,26882,370
65,92,26882,370
43,68,27019,109
48,68,27136,109
51,68,27252,115
63,90,27252,115
55,66,27374,114
58,74,27374,353
65,88,27374,353
51,68,27495,108
48,68,27611,224
63,90,27727,115
34,82,27850,116
58,76,27850,355
65,90,27850,355
41,81,27973,108
46,81,28089,109
36,79,28205,357
67,86,28205,113
63,91,28326,474
46,81,28562,109
34,79,28679,114
32,94,28802,130
55,82,28802,370
58,96,28802,370
44,68,28939,109
51,68,29056,109
56,65,29172,115
63,90,29172,122
60,66,29294,114
63,91,29294,353
56,65,29415,108
51,65,29531,109
44,65,29647,115
