note,velocity,position,duration
63,80,0,227
67,80,0,227
63,80,240,227
67,80,240,227
70,80,480,455
75,80,960,455
63,80,1200,683
67,80,1200,683
77,80,1440,455
79,80,1920,455
67,80,1920,227
71,80,1920,227
67,80,2160,227
71,80,2160,227
77,80,2400,455
75,80,2880,455
67,80,3120,683
71,80,3120,683
77,80,3360,455
68,80,3840,227
72,80,3840,227
79,80,4080,227
68,80,4080,227
72,80,4080,227
80,80,4320,227
79,80,4560,227
80,80,4800,227
79,80,5040,227
68,80,5040,683
72,80,5040,683
80,80,5280,227
79,80,5520,227
80,80,5760,227
82,80,6000,455
77,80,6480,455
75,80,6960,227
77,80,7200,227
75,80,7440,227
63,80,7680,227
67,80,7680,227
63,80,7920,227
67,80,7920,227
70,80,8160,455
75,80,8640,455
58,80,8880,227
77,80,9120,455
63,80,9120,455
67,80,9120,455
79,80,9600,455
67,80,9600,227
71,80,9600,227
67,80,9840,227
71,80,9840,227
77,80,10080,455
75,80,10560,455
62,80,10800,227
77,80,11040,455
67,80,11040,455
71,80,11040,455
68,80,11520,227
72,80,11520,227
79,80,11760,227
68,80,11760,227
72,80,11760,227
80,80,12000,227
79,80,12240,227
80,80,12480,227
79,80,12720,227
80,80,12960,227
79,80,13200,227
80,80,13440,227
82,80,13680,455
77,80,14160,455
75,80,14640,227
77,80,14880,227
75,80,15120,227
70,80,15840,455
67,80,16320,227
68,80,16560,227
70,80,16800,227
74,80,17040,227
74,80,17520,227
72,80,18000,227
74,80,18480,683
75,80,19680,455
72,80,20160,227
74,80,20400,227
75,80,20640,227
78,80,20880,227
78,80,21360,227
77,80,21840,227
75,80,22320,455
71,80,22800,227
70,80,23520,455
67,80,24000,227
68,80,24240,227
70,80,24480,227
74,80,24720,227
74,80,25200,227
72,80,25680,227
74,80,26160,683
75,80,27360,455
72,80,27840,227
74,80,28080,227
75,80,28320,227
78,80,28560,227
78,80,29040,227
77,80,29520,227
75,80,30000,455
71,80,30480,227
70,64,31200,455
75,64,31680,455
77,64,32160,455
79,64,32640,455
77,64,33120,455
75,64,33600,455
77,64,34080,455
79,64,34800,227
80,64,35040,227
79,64,35280,227
80,64,35520,227
79,64,35760,227
80,64,36000,227
79,64,36240,227
80,64,36480,227
82,64,36720,455
77,64,37200,455
75,64,37680,227
77,64,37920,227
75,64,38160,227
70,64,38880,455
75,64,39360,455
77,64,39840,455
79,64,40320,455
77,64,40800,455
75,64,41280,455
77,64,41760,455
79,64,42480,227
80,64,42720,227
79,64,42960,227
80,64,43200,227
79,64,43440,227
80,64,43680,227
79,64,43920,227
80,64,44160,227
82,64,44400,455
77,64,44880,455
75,64,45360,227
77,64,45600,227
75,64,45840,227
70,80,46560,455
75,80,46560,455
79,80,46560,455
