note,velocity,position,duration
105,96,0,17
108,96,0,31
107,96,0,42
103,96,19,17
101,96,39,17
100,96,60,17
98,96,79,17
96,96,99,17
95,96,120,17
93,96,139,17
91,96,159,17
89,96,180,17
88,96,199,17
86,96,219,17
84,96,240,17
83,96,259,17
81,96,279,17
79,96,300,17
77,96,319,17
76,96,339,17
74,96,360,17
72,96,379,17
71,96,399,17
69,96,420,17
67,96,439,36
65,96,480,227
68,112,960,113
80,112,960,113
68,112,1080,113
80,112,1080,113
68,112,1200,227
80,112,1200,227
68,112,1440,227
72,112,1440,227
80,112,1440,227
65,112,1680,227
77,112,1680,227
63,112,2160,227
68,112,2160,227
75,112,2160,227
65,112,2640,227
77,112,2640,227
63,112,2880,227
68,112,2880,227
75,112,2880,227
65,112,3120,227
77,112,3120,227
68,112,3360,911
72,112,3360,911
80,112,3360,911
68,112,4800,113
80,112,4800,113
68,112,4920,113
80,112,4920,113
68,112,5040,227
80,112,5040,227
68,112,5280,227
73,112,5280,227
80,112,5280,227
65,112,5520,120
77,112,5520,227
63,112,6000,227
68,112,6000,227
75,112,6000,227
65,112,6480,227
77,112,6480,227
63,112,6720,120
67,112,6720,227
75,112,6720,227
65,112,6960,227
77,112,6960,227
72,112,7200,455
75,112,7200,455
84,112,7200,455
70,112,7680,227
82,112,7680,227
68,112,7920,227
80,112,7920,227
68,112,8640,113
80,112,8640,113
68,112,8760,113
80,112,8760,113
68,112,8880,227
80,112,8880,227
68,112,9120,227
72,112,9120,227
80,112,9120,227
65,112,9360,120
77,112,9360,227
63,112,9840,227
68,112,9840,227
75,112,9840,227
65,112,10320,227
77,112,10320,227
63,112,10560,227
68,112,10560,227
75,112,10560,227
65,112,10800,227
77,112,10800,227
68,112,11040,455
72,112,11040,455
80,112,11040,455
70,112,11520,227
82,112,11520,227
68,112,11760,227
80,112,11760,227
72,112,12000,227
77,112,12000,227
84,112,12000,227
77,104,12240,113
84,104,12240,113
72,104,12360,113
77,104,12480,113
84,104,12480,113
84,104,12600,113
89,104,12720,227
96,104,12720,227
72,112,12960,227
77,112,12960,227
84,112,12960,227
77,104,13200,113
84,104,13200,113
72,104,13320,113
77,104,13440,113
84,104,13440,113
84,104,13560,113
89,104,13680,227
96,104,13680,227
72,112,13920,341
75,112,13920,341
84,112,13920,341
70,112,14280,341
82,112,14280,341
68,112,14640,227
80,112,14640,227
63,112,14880,227
67,112,14880,227
75,112,14880,227
63,112,15120,119
75,112,15120,119
64,112,15360,455
67,112,15360,455
76,112,15360,455
65,112,15840,227
68,112,15840,227
77,112,15840,227
60,87,16080,341
65,87,16080,341
68,87,16080,341
60,87,16440,113
65,87,16440,113
68,87,16440,113
60,87,16800,341
65,87,16800,341
68,87,16800,341
60,87,17160,113
65,87,17160,113
68,87,17160,113
60,87,17520,227
65,87,17520,227
68,87,17520,227
63,101,17760,227
68,101,17760,227
75,101,17760,227
60,87,18000,341
63,87,18000,341
68,87,18000,341
60,87,18360,113
63,87,18360,113
68,87,18360,113
68,101,18720,341
72,101,18720,341
80,101,18720,341
63,89,19080,113
68,89,19080,113
75,101,19080,113
73,101,19200,113
72,101,19320,113
60,89,19440,113
63,89,19440,113
68,101,19440,113
70,101,19440,113
68,101,19560,113
65,101,19680,455
56,91,19920,341
61,91,19920,341
67,101,20160,455
56,91,20280,113
61,91,20280,113
65,91,20280,113
68,101,20640,455
56,91,20640,341
61,91,20640,341
65,91,20640,341
56,91,21000,113
61,91,21000,113
65,91,21000,113
70,101,21120,119
72,101,21360,455
61,91,21360,227
65,91,21360,227
70,101,21840,227
63,91,21840,341
67,91,21840,341
75,101,22080,227
63,91,22200,113
67,91,22200,113
72,101,22320,227
63,91,22560,227
67,91,22560,227
75,101,22560,227
72,101,22800,227
63,91,23040,227
67,91,23040,227
75,101,23040,227
72,101,23280,227
65,101,23520,227
68,101,23520,227
77,101,23520,227
60,89,23760,341
65,89,23760,341
68,89,23760,341
60,89,24120,113
65,89,24120,113
68,89,24120,113
60,89,24480,341
65,89,24480,341
68,89,24480,341
60,89,24840,113
65,89,24840,113
68,89,24840,113
65,101,25200,113
68,101,25200,113
72,101,25200,113
75,101,25320,113
68,101,25440,113
77,101,25440,113
75,101,25560,113
68,101,25680,113
72,101,25680,113
70,101,25800,113
63,101,26040,113
68,101,26040,113
72,101,26040,113
70,101,26160,113
68,101,26280,113
63,101,26400,113
68,101,26400,113
70,101,26400,113
72,101,26520,113
70,101,26640,113
63,101,26760,113
68,101,26760,113
65,101,26880,227
60,101,27120,227
63,101,27120,227
65,101,27360,455
56,91,27600,341
61,91,27600,341
67,101,27840,455
56,91,27960,113
61,91,27960,113
65,91,27960,113
68,101,28320,341
56,91,28320,341
61,91,28320,341
65,91,28320,341
70,101,28680,113
61,91,28680,113
65,91,28680,113
72,101,29040,455
61,91,29040,227
65,91,29040,227
72,101,29520,227
63,91,29520,341
67,91,29520,341
75,101,29760,227
63,91,29880,113
67,91,29880,113
72,101,30000,227
75,101,30240,455
79,101,30240,455
87,101,30240,455
77,101,30720,455
80,101,30720,455
89,101,30720,455
60,80,31200,455
65,80,31200,455
68,80,31320,227
70,80,31560,113
72,80,31680,113
75,80,31800,113
77,80,32040,113
72,80,32160,113
70,80,32280,113
60,80,32400,227
65,80,32400,227
72,80,32520,341
60,80,32760,113
65,80,32760,113
72,80,32880,113
75,80,33000,113
72,80,33120,113
63,80,33120,227
68,80,33120,227
77,80,33240,113
79,80,33360,113
80,80,33480,113
79,80,33600,113
80,80,33720,113
79,80,33840,113
77,80,33960,113
75,80,34080,227
72,80,34320,227
63,80,34320,227
68,80,34320,227
73,80,34560,227
63,80,34680,113
68,80,34680,113
75,80,34800,227
77,80,35040,113
68,80,35040,455
73,80,35040,113
73,80,35160,113
75,80,35280,113
77,80,35400,113
80,80,35520,227
77,80,35760,113
79,80,35880,113
80,80,36000,227
79,80,36240,113
68,80,36240,227
73,80,36240,227
77,80,36360,113
80,80,36480,113
77,80,36600,113
68,80,36600,113
73,80,36600,113
79,80,36720,113
80,80,36840,113
79,80,36960,227
