note,velocity,position,duration
91,67,10,784
72,67,10,1043
86,62,795,763
79,63,1054,1014
91,62,1559,479
95,65,2069,757
84,65,2069,1014
93,62,2827,761
79,63,3084,1011
91,62,3589,506
91,67,4100,790
67,67,4100,1049
86,62,4891,763
74,63,5150,1014
91,62,5655,479
95,65,6165,757
79,65,6165,1014
93,62,6923,761
74,63,7180,1011
91,62,7685,506
91,67,8196,790
62,67,8196,1049
86,62,8987,763
69,63,9246,1014
95,62,9751,479
96,65,10261,757
74,65,10261,1014
95,62,11019,761
69,63,11276,1011
91,62,11781,476
93,67,12292,790
64,67,12292,1049
91,62,13083,763
71,63,13342,1014
90,62,13847,479
91,65,14357,479
76,65,14357,1014
90,62,14867,474
91,63,15372,241
71,63,15372,1011
90,62,15629,232
86,62,15877,232
81,62,16125,243
79,67,16388,790
60,67,16388,1049
74,62,17179,763
67,63,17438,1014
79,62,17943,479
83,65,18453,757
72,65,18453,1014
81,62,19211,761
67,63,19468,1011
79,62,19973,506
79,67,20484,790
55,67,20484,1049
74,62,21275,763
62,63,21534,1014
86,62,22039,479
79,65,22549,1014
67,65,22549,2026
74,63,23564,1011
74,85,24580,1049
78,85,24580,1049
86,99,24580,1049
26,75,24580,4091
38,93,24580,4091
50,89,25630,242
54,88,25888,231
57,88,26135,232
62,88,26383,246
66,91,26645,247
69,88,26908,231
74,88,27155,232
78,88,27403,256
74,81,27660,1011
78,81,27660,1011
86,95,27660,1011
66,85,28676,435
78,99,28676,435
67,81,29726,400
79,95,29726,400
74,83,30741,479
86,97,30741,509
67,80,31251,197
79,94,31251,197
67,81,31756,397
79,95,31756,397
67,85,32772,1554
74,99,32772,1554
24,79,32772,511
36,97,32772,541
43,88,33314,477
48,89,33822,474
67,80,34327,1524
79,94,34327,1524
52,88,34327,479
55,91,34837,479
60,88,35347,474
67,81,35852,1011
79,95,35852,1011
64,89,35852,1011
74,85,36868,1554
78,99,36868,1554
43,93,36868,511
50,88,37410,477
55,89,37918,474
71,80,38423,1524
74,94,38423,1524
59,88,38423,479
55,91,38933,479
50,88,39443,474
74,81,39948,1011
86,95,39948,1011
43,89,39948,1011
86,85,40964,1554
91,85,40964,1554
98,99,40964,1554
38,92,40964,511
45,88,41506,477
50,89,42014,474
79,80,42519,1524
91,94,42519,1524
54,88,42519,479
57,91,43029,479
62,88,43539,1516
81,81,44044,1011
93,95,44044,1011
79,85,45060,1554
91,99,45060,1554
40,92,45060,511
47,88,45602,477
52,89,46110,474
95,88,46615,232
55,88,46615,479
96,88,46863,246
95,91,47125,247
40,90,47125,479
93,88,47388,231
91,88,47635,232
47,88,47635,1009
86,88,47883,241
79,89,48140,1011
52,88,48645,476
62,93,49156,541
43,93,49156,511
62,88,49698,248
50,88,49698,477
62,88,49947,516
55,89,50206,474
62,88,50464,246
62,88,50711,509
59,88,50711,479
62,91,51221,479
55,91,51221,479
60,88,51731,474
50,88,51731,474
59,89,52236,474
43,89,52236,474
60,88,52741,476
50,88,52741,476
62,93,53252,541
