note,velocity,position,duration
47,110,4321,447
54,110,4801,174
67,110,5761,156
64,110,5761,213
59,110,5761,153
47,110,6721,489
54,110,7201,534
47,110,8161,486
54,110,8641,180
67,110,9601,189
59,110,9601,168
64,110,9601,243
47,110,10561,459
54,110,11041,480
54,110,12001,507
55,110,12481,183
67,110,13441,201
59,110,13441,168
64,110,13441,255
54,110,14401,579
55,110,14881,477
50,110,15841,468
55,110,16321,156
67,110,17281,198
64,110,17281,261
59,110,17281,183
54,110,18241,468
55,110,18721,144
63,110,19201,150
59,110,19201,123
63,110,19921,144
59,110,19921,126
63,110,20641,141
59,110,20641,129
71,110,21121,321
66,110,21361,288
63,110,21601,225
59,110,21841,195
62,110,22081,909
64,110,23041,153
64,110,23521,132
64,110,24001,267
62,110,24241,267
64,110,24481,318
67,110,24721,774
64,110,25441,144
64,110,25921,276
62,110,26161,294
64,110,26401,321
67,110,26641,795
64,110,27361,126
64,110,27841,267
62,110,28081,252
64,110,28321,279
67,110,28561,711
64,110,29281,141
69,110,29761,534
71,110,30241,183
64,110,30721,183
64,110,31201,165
64,110,31681,237
62,110,31921,273
64,110,32161,282
67,110,32401,729
64,110,33121,129
64,110,33601,228
62,110,33841,309
64,110,34081,297
67,110,34321,795
64,110,35041,132
64,110,35521,252
62,110,35761,267
64,110,36001,273
67,110,36241,783
64,110,36961,141
62,110,37441,597
59,110,37441,408
64,110,38401,255
59,90,38641,231
64,110,38881,243
59,90,39121,291
64,110,39361,258
62,110,39601,291
64,110,39841,285
67,110,40081,489
59,90,40561,243
64,110,40801,252
59,90,41041,300
64,110,41281,252
62,110,41521,297
64,110,41761,315
67,110,42001,507
59,90,42481,237
64,110,42721,237
59,90,42961,282
64,110,43201,246
62,110,43441,294
64,110,43681,291
67,110,43921,516
59,90,44401,237
64,110,44641,246
59,90,44881,189
69,110,45121,459
71,110,45601,165
64,110,46081,228
59,90,46321,189
64,110,46561,219
59,90,46801,279
64,110,47041,237
62,110,47281,264
64,110,47521,288
67,110,47761,546
59,90,48241,222
64,110,48481,225
59,90,48721,294
64,110,48961,240
62,110,49201,285
64,110,49441,282
67,110,49681,513
59,90,50161,219
64,110,50401,228
59,90,50641,297
64,110,50881,255
62,110,51121,309
64,110,51361,396
59,110,51841,120
63,110,51841,114
63,110,52081,162
59,110,52081,147
59,110,52801,108
63,110,52801,120
63,110,52801,120
59,110,52801,108
63,110,53041,162
59,110,53041,147
67,100,54241,1800
79,110,54241,108
79,110,54481,126
79,110,54721,204
79,110,55201,114
79,110,55441,213
79,110,55921,186
69,110,56161,246
81,110,56161,246
67,110,56641,465
79,110,56641,465
79,110,58081,111
67,100,58081,1800
79,110,58321,141
79,110,58561,204
79,110,59041,111
79,110,59281,270
79,110,59761,156
