note,velocity,position,duration
50,96,2000,250
51,96,2250,250
53,96,2500,250
55,96,2750,250
56,96,3000,250
58,96,3250,250
60,96,3500,250
62,96,3750,250
55,96,4000,500
58,96,4000,500
63,96,4000,500
58,96,4500,500
55,96,4500,500
63,96,4500,500
58,96,5000,1000
63,96,6000,1000
65,96,7000,1000
67,96,8000,1000
62,96,8000,1000
59,96,8000,1000
65,96,9000,1000
63,96,10000,1000
65,96,11000,1000
60,96,12000,500
56,96,12000,500
60,96,12500,500
67,96,12500,500
68,96,13000,500
67,96,13500,500
68,96,14000,500
67,96,14500,500
68,96,15000,500
67,96,15500,500
68,96,16000,500
62,96,16000,500
58,96,16000,500
70,96,16500,1000
65,96,17500,1000
63,96,18500,500
65,96,19000,500
63,96,19500,500
55,96,20000,500
58,96,20000,500
55,96,20500,500
58,96,20500,500
58,96,21000,1000
63,96,22000,1000
65,96,23000,1000
67,96,24000,1000
59,96,24000,1000
62,96,24000,1000
65,96,25000,1000
63,96,26000,1000
65,96,27000,1000
56,96,28000,500
60,96,28000,500
67,96,28500,500
60,96,28500,500
68,96,29000,500
67,96,29500,500
68,96,30000,500
67,96,30500,500
68,96,31000,500
67,96,31500,500
68,96,32000,500
62,96,32000,500
58,96,32000,500
70,96,32500,1000
65,96,33500,1000
63,96,34500,500
65,96,35000,500
63,96,35500,500
63,96,37000,1000
70,96,37000,1000
67,96,37000,1000
67,96,38000,500
68,96,38500,500
70,96,39000,500
74,96,39500,500
71,96,39500,500
67,96,39500,500
67,96,40500,1000
74,96,40500,1000
71,96,40500,1000
72,96,41500,1000
67,96,42500,1500
71,96,42500,1500
74,96,42500,1500
75,96,45000,1000
72,96,45000,1000
68,96,45000,1000
72,96,46000,500
74,96,46500,500
75,96,47000,500
71,96,47500,500
75,96,47500,500
78,96,47500,500
75,96,48500,1000
71,96,48500,1000
78,96,48500,1000
77,96,49500,1000
71,96,49500,1000
75,96,50500,1000
68,96,51500,500
71,96,51500,500
70,96,52000,1000
67,96,52000,1000
67,96,53000,1000
70,96,53000,1000
63,96,53000,1000
67,96,54000,500
68,96,54500,500
70,96,55000,500
74,96,55500,500
71,96,55500,500
67,96,55500,500
67,96,56500,1000
74,96,56500,1000
71,96,56500,1000
72,96,57500,1000
67,96,58500,1500
71,96,58500,1500
74,96,58500,1500
75,96,61000,1000
72,96,61000,1000
68,96,61000,1000
72,96,62000,500
74,96,62500,500
75,96,63000,500
71,96,63500,500
78,96,63500,500
75,96,63500,500
78,96,64500,1000
71,96,64500,1000
75,96,64500,1000
77,96,65500,1000
75,96,66500,1000
71,96,67500,500
68,96,67500,500
70,96,68000,1000
67,96,68000,1000
58,96,69000,1000
63,96,70000,1000
65,96,71000,1000
62,96,72000,1000
67,96,72000,1000
65,96,73000,1000
63,96,74000,1000
62,96,75000,1000
65,96,75000,1000
67,96,76500,500
68,96,77000,500
67,96,77500,500
68,96,78000,500
67,96,78500,500
68,96,79000,500
67,96,79500,500
68,96,80000,500
70,96,80500,1000
65,96,80500,1000
65,96,81500,1000
62,96,81500,1000
63,96,82500,500
65,96,83000,500
62,96,83000,500
63,96,83500,500
58,96,85000,1000
63,96,86000,1000
65,96,87000,1000
62,96,88000,1000
67,96,88000,1000
65,96,89000,1000
63,96,90000,1000
65,96,91000,1000
62,96,91000,1000
67,96,92500,500
68,96,93000,500
67,96,93500,500
68,96,94000,500
67,96,94500,500
68,96,95000,500
67,96,95500,500
68,96,96000,500
70,96,96500,1000
65,96,96500,1000
65,96,97500,1000
62,96,97500,1000
63,96,98500,500
65,96,99000,500
62,96,99000,500
63,96,99500,500
75,96,101000,1000
82,96,101000,1000
79,96,101000,1000
79,96,102000,1000
75,96,102000,1000
75,96,103000,1000
82,96,103000,1000
79,96,103000,1000
79,96,104000,1500
74,96,104000,1500
82,96,105500,1500
82,96,107000,500
77,96,107500,1500
84,96,107500,1500
82,96,109000,1000
79,96,110000,1000
75,96,110000,1000
77,96,111000,1000
74,96,111000,1000
72,96,112000,1500
75,96,112000,1500
72,96,113500,2500
75,96,117000,500
72,96,117500,500
75,96,118000,1000
75,96,119000,500
72,96,119500,500
75,96,120000,1000
75,96,121000,500
72,96,121500,500
75,96,122000,500
77,96,122500,1000
79,96,123500,500
75,96,123500,500
72,96,123500,500
75,96,125000,500
72,96,125500,500
75,96,126000,1000
75,96,127000,500
72,96,127500,500
75,96,128000,1000
75,96,129000,500
72,96,129500,500
75,96,130000,500
77,96,130500,1000
79,96,131500,500
75,96,131500,500
70,96,131500,500
75,96,133000,500
68,96,133000,500
72,96,133500,500
75,96,134000,1000
68,96,134000,1000
68,96,135000,500
75,96,135000,500
72,96,135500,500
75,96,136000,1000
72,96,136000,1000
75,96,137000,500
69,96,137000,500
72,96,137500,500
75,96,138000,500
69,96,138000,500
77,96,138500,1000
72,96,138500,1000
79,96,139500,2000
75,96,139500,2000
77,96,141500,500
74,96,141500,500
77,96,142000,1000
74,96,142000,1000
72,96,143500,500
80,96,144000,1000
79,96,145000,1000
75,96,146000,1000
77,96,147000,1000
74,96,147000,1000
70,96,147000,1000
65,96,148000,500
70,96,148000,500
70,96,148500,500
65,96,148500,500
69,96,149500,1000
65,96,149500,1000
105,96,150624,62
103,96,150686,62
101,96,150750,62
100,96,150812,62
98,96,150874,62
96,96,150938,62
95,96,151000,62
93,96,151062,62
91,96,151124,62
89,96,151188,62
88,96,151250,62
86,96,151312,62
84,96,151374,62
83,96,151438,62
81,96,151500,62
79,96,151562,62
77,96,151624,62
76,96,151686,62
74,96,151750,62
72,96,151812,62
71,96,151874,62
69,96,151938,62
89,96,152500,500
77,96,152500,500
89,96,153000,500
77,96,153000,500
89,96,154000,500
77,96,154000,500
87,96,154500,500
75,96,154500,500
86,96,155000,500
74,96,155000,500
87,96,155500,500
75,96,155500,500
89,96,156000,500
77,96,156000,500
89,96,156500,1000
77,96,156500,1000
89,96,157500,500
77,96,157500,500
94,96,158500,500
82,96,158500,500
93,96,159000,500
81,96,159000,500
94,96,159500,500
82,96,159500,500
89,96,160500,500
77,96,160500,500
89,96,161000,500
77,96,161000,500
89,96,161500,500
77,96,161500,500
89,96,162000,500
77,96,162000,500
87,96,162500,500
75,96,162500,500
86,96,163000,500
74,96,163000,500
87,96,163500,500
75,96,163500,500
89,96,164000,500
77,96,164000,500
89,96,164500,1000
77,96,164500,1000
89,96,165500,500
77,96,165500,500
98,96,166500,500
86,96,166500,500
96,96,167000,500
84,96,167000,500
94,96,167500,500
82,96,167500,500
87,96,168500,500
91,96,168500,500
79,96,168500,500
91,96,169000,500
87,96,169000,500
79,96,169000,500
91,96,169500,500
87,96,169500,500
79,96,169500,500
91,96,170000,500
87,96,170000,500
79,96,170000,500
87,96,170500,500
91,96,170500,500
79,96,170500,500
93,96,171000,500
81,96,171000,500
94,96,171500,500
91,96,171500,500
87,96,171500,500
82,96,171500,500
89,96,172500,500
86,96,172500,500
77,96,172500,500
86,96,173000,500
89,96,173000,500
77,96,173000,500
86,96,173500,500
89,96,173500,500
77,96,173500,500
86,96,174000,1000
74,96,174000,1000
86,96,175000,1000
89,96,175000,1000
77,96,175000,1000
87,96,176000,1000
75,96,176000,1000
86,96,177000,1000
74,96,177000,1000
87,96,178000,1000
75,96,178000,1000
89,96,179000,1000
77,96,179000,1000
86,96,180000,500
74,96,180000,500
84,96,180500,500
72,96,180500,500
86,96,181000,500
74,96,181000,500
77,96,181500,1000
84,96,181500,1000
72,96,181500,1000
84,96,182500,500
72,96,182500,500
86,96,183000,500
74,96,183000,500
87,96,183500,500
75,96,183500,500
89,96,184000,500
77,96,184000,500
89,96,184500,500
77,96,184500,500
89,96,185000,500
77,96,185000,500
89,96,185500,500
77,96,185500,500
89,96,186000,500
77,96,186000,500
87,96,186500,500
75,96,186500,500
86,96,187000,500
74,96,187000,500
87,96,187500,500
75,96,187500,500
89,96,188000,500
77,96,188000,500
89,96,188500,500
77,96,188500,500
89,96,189000,500
77,96,189000,500
89,96,189500,500
77,96,189500,500
94,96,190500,500
82,96,190500,500
93,96,191000,500
81,96,191000,500
94,96,191500,500
82,96,191500,500
89,96,192500,500
77,96,192500,500
89,96,193000,500
77,96,193000,500
89,96,193500,500
77,96,193500,500
89,96,194000,500
