note,velocity,position,duration
74,78,0,2500
74,78,2500,500
74,78,3000,500
74,78,3500,500
74,78,4000,1000
72,78,5000,500
71,78,5500,1000
72,78,6500,1000
72,78,7500,500
71,78,8000,2500
74,78,8000,2500
71,78,10500,500
74,78,10500,500
71,78,11000,500
74,78,11000,500
71,78,11500,500
74,78,11500,500
71,78,12000,1000
74,78,12000,1000
79,78,13000,500
78,78,13500,1000
74,78,14500,1000
72,78,15500,500
67,78,16000,2500
74,78,16000,2500
67,78,18500,500
74,78,18500,500
67,78,19000,500
74,78,19000,500
67,78,19500,500
74,78,19500,500
67,78,20000,1000
74,78,20000,1000
72,78,21000,500
71,78,21500,1000
72,78,22500,1000
72,78,23500,500
71,78,24000,1500
67,78,25500,1500
62,78,25500,1500
71,78,27000,1000
62,78,27000,1000
67,78,27000,1000
72,78,28000,500
62,78,28000,500
67,78,28000,500
67,78,28500,500
62,78,28500,500
69,78,29000,500
62,78,29000,500
72,78,29500,500
62,78,29500,500
71,78,30000,500
62,78,30000,500
67,78,30500,500
62,78,30500,500
71,78,31000,500
62,78,31000,500
67,78,31500,500
67,78,32000,2500
74,78,32000,2500
67,78,34500,500
74,78,34500,500
67,78,35000,500
74,78,35000,500
67,78,35500,500
74,78,35500,500
67,78,36000,1000
74,78,36000,1000
72,78,37000,500
71,78,37500,1000
72,78,38500,1000
72,78,39500,500
71,78,40000,2500
74,78,40000,2500
71,78,42500,500
74,78,42500,500
71,78,43000,500
74,78,43000,500
71,78,43500,500
74,78,43500,500
71,78,44000,1000
74,78,44000,1000
79,78,45000,500
78,78,45500,1000
81,78,46500,1000
81,78,47500,500
79,78,48000,4000
79,78,52000,1500
78,78,53500,1000
81,78,54500,1000
81,78,55500,1000
79,78,56500,3500
74,78,60000,500
72,78,60500,500
71,78,61000,500
67,78,61500,500
72,78,62000,500
67,78,62500,500
72,78,63000,500
71,78,63500,500
67,78,64000,1000
67,78,65000,500
74,78,65000,500
67,78,65500,500
74,78,65500,500
67,78,66000,500
74,78,66000,500
67,78,66500,500
74,78,66500,500
67,78,67000,500
74,78,67000,500
67,78,67500,500
74,78,67500,500
67,78,68000,1000
74,78,68000,1000
72,78,69000,500
71,78,69500,1500
69,78,71000,1000
69,78,72000,1000
71,78,73000,500
69,78,73500,1500
71,78,75000,500
69,78,75500,1000
62,78,76500,1500
67,78,76500,1500
67,78,78000,500
62,78,78000,500
69,78,78500,500
71,78,79000,500
71,78,79500,500
72,78,80000,1000
71,78,81000,500
69,78,81500,1000
67,78,82500,1000
71,78,83500,500
72,78,84000,1000
69,78,84000,1000
66,78,84000,1000
71,78,85000,500
69,78,85500,1000
67,78,86500,1000
67,78,87500,500
69,78,88000,1000
74,78,89000,500
69,78,89500,500
71,78,90000,2000
84,78,92000,500
83,78,92500,1000
81,78,93500,1000
83,78,94500,1500
60,78,96000,1000
64,78,96000,1000
67,78,96000,1000
74,78,97000,500
74,78,97500,500
74,78,98000,500
74,78,98500,500
74,78,99000,500
74,78,99500,500
74,78,100000,1000
72,78,101000,500
71,78,101500,1000
69,78,102500,1000
69,78,103500,1500
71,78,105000,500
69,78,105500,1000
69,78,106500,500
71,78,107000,500
69,78,107500,1000
67,78,108500,500
67,78,109000,1000
67,78,110000,500
69,78,110500,500
71,78,111000,500
72,78,111500,1500
71,78,113000,500
69,78,113500,1000
67,78,114500,500
67,78,115000,500
66,78,115500,1500
72,78,115500,1500
69,78,115500,1500
74,78,117000,500
69,78,117500,1000
67,78,118500,1000
62,78,119500,3000
67,78,119500,3000
83,78,122500,1000
79,78,123500,500
84,78,124000,500
79,78,124500,500
74,78,125000,500
83,78,125500,500
67,78,126000,1000
79,78,127000,1000
78,78,128000,3000
76,78,131000,500
76,78,131500,500
71,78,132000,2000
74,78,132000,2000
67,78,134000,1000
76,78,135000,1000
74,78,136000,1000
72,78,137000,500
71,78,137500,1000
69,78,138500,1000
69,78,139500,500
67,78,140000,2500
71,78,140000,2500
71,78,142500,500
71,78,143000,500
71,78,143500,500
69,78,144000,1000
72,78,144000,1000
71,78,145000,500
69,78,145500,1000
64,78,146500,1000
67,78,146500,1000
67,78,147500,500
64,78,147500,500
69,78,148000,1000
72,78,148000,1000
71,78,149000,500
72,78,149500,1000
74,78,150500,1000
74,78,151500,1000
69,78,151500,1000
67,78,152000,1500
66,78,153500,1500
62,78,155000,1000
74,73,158000,1000
62,73,158000,1000
66,73,158000,1000
69,73,158000,1000
79,73,159000,1000
67,73,159000,1000
74,73,160000,500
69,73,160000,500
81,73,160000,500
79,73,160500,500
67,73,160500,500
74,73,161000,500
69,73,161000,500
81,73,161000,500
79,73,161500,500
67,73,161500,500
74,73,162000,1000
69,73,162000,1000
81,73,162000,1000
79,73,163000,500
67,73,163000,500
74,73,163500,1000
69,73,163500,1000
81,73,163500,1000
79,73,164500,500
67,73,164500,500
74,73,165000,500
69,73,165000,500
81,73,165000,500
83,73,165500,500
71,73,165500,500
79,73,166000,2000
71,73,166000,2000
74,73,166000,2000
83,73,166000,2000
76,73,168000,500
69,73,168000,500
72,73,168000,500
81,73,168000,500
79,73,168500,500
67,73,168500,500
76,73,169000,500
69,73,169000,500
72,73,169000,500
81,73,169000,500
79,73,169500,500
67,73,169500,500
76,73,170000,1000
69,73,170000,1000
72,73,170000,1000
81,73,170000,1000
79,73,171000,500
67,73,171000,500
76,73,171500,1000
69,73,171500,1000
72,73,171500,1000
81,73,171500,1000
79,73,172500,500
67,73,172500,500
81,73,173000,500
69,73,173000,500
83,73,173500,500
71,73,173500,500
76,73,174000,1000
71,73,174000,1000
83,73,174000,1000
79,73,174000,1000
72,73,175000,1000
67,73,175000,1000
79,73,175000,1000
76,73,175000,1000
78,73,176000,1500
66,73,176000,1500
74,73,176000,1500
71,73,176000,1500
79,73,177500,1500
67,73,177500,1500
76,73,177500,1500
71,73,177500,1500
81,73,179000,500
69,73,179000,500
79,73,179500,500
67,73,179500,500
78,73,180000,1500
66,73,180000,1500
74,73,180000,1500
69,73,180000,1500
79,73,181500,2000
67,73,181500,2000
74,73,181500,2000
74,73,183500,500
62,73,183500,500
76,73,184000,500
64,73,184000,500
72,73,184500,500
67,73,184500,500
76,73,184500,500
79,73,184500,500
72,73,185000,500
67,73,185000,500
76,73,185000,500
79,73,185000,500
72,73,185500,500
67,73,185500,500
76,73,185500,500
79,73,185500,500
72,73,186000,500
67,73,186000,500
76,73,186000,500
79,73,186000,500
72,73,186500,1000
67,73,186500,1000
76,73,186500,1000
79,73,186500,1000
72,73,187500,500
67,73,187500,500
76,73,187500,500
79,73,187500,500
79,73,188000,1000
67,73,188000,1000
78,73,189000,500
66,73,189000,500
79,73,189500,1000
67,73,189500,1000
78,73,190500,1500
69,73,190500,1500
74,73,190500,1500
81,73,190500,1500
69,73,192000,500
81,73,192000,500
74,73,192000,500
79,73,192500,500
67,73,192500,500
81,73,193000,500
69,73,193000,500
74,73,193000,500
79,73,193500,500
67,73,193500,500
81,73,194000,1000
69,73,194000,1000
74,73,194000,1000
79,73,195000,500
67,73,195000,500
81,73,195500,1000
69,73,195500,1000
74,73,195500,1000
79,73,196500,500
67,73,196500,500
81,73,197000,500
69,73,197000,500
74,73,197000,500
83,73,197500,500
71,73,197500,500
83,73,198000,2000
71,73,198000,2000
79,73,198000,2000
74,73,198000,2000
81,73,200000,500
69,73,200000,500
76,73,200000,500
72,73,200000,500
79,73,200500,500
67,73,200500,500
81,73,201000,500
69,73,201000,500
76,73,201000,500
72,73,201000,500
79,73,201500,500
67,73,201500,500
81,73,202000,1000
69,73,202000,1000
76,73,202000,1000
72,73,202000,1000
79,73,203000,500
67,73,203000,500
81,73,203500,1000
69,73,203500,1000
78,73,203500,1000
75,73,203500,1000
79,73,204500,500
67,73,204500,500
81,73,205000,500
69,73,205000,500
86,73,205500,500
74,73,205500,500
83,73,206000,1000
71,73,206000,1000
75,73,206000,1000
78,73,206000,1000
79,73,207000,1000
67,73,207000,1000
71,73,207000,1000
78,73,208000,1500
66,73,208000,1500
71,73,208000,1500
74,73,208000,1500
79,73,209500,1500
67,73,209500,1500
71,73,209500,1500
76,73,209500,1500
81,73,211000,750
69,73,211000,750
79,73,211750,250
67,73,211750,250
78,73,212000,1500
66,73,212000,1500
79,73,213500,2000
67,73,213500,2000
74,73,213500,2000
74,73,215500,500
62,73,215500,500
76,73,216000,500
64,73,216000,500
79,73,216500,500
67,73,216500,500
75,73,216500,500
72,73,216500,500
79,73,217000,500
67,73,217000,500
75,73,217000,500
72,73,217000,500
79,73,217500,1000
67,73,217500,1000
72,73,217500,1000
75,73,217500,1000
79,73,218500,500
67,73,218500,500
75,73,218500,500
72,73,218500,500
79,73,219000,500
67,73,219000,500
75,73,219000,500
72,73,219000,500
79,73,219500,500
67,73,219500,500
72,73,219500,500
75,73,219500,500
79,73,220000,1000
67,73,220000,1000
79,73,221000,500
67,73,221000,500
78,73,221500,1000
66,73,221500,1000
79,73,222500,500
67,73,222500,500
74,73,223000,5000
67,73,223000,5000
71,73,223000,5000
79,73,223000,5000
48,78,0,1502
59,78,1502,1498
60,78,3000,1000
67,78,4000,1500
60,78,5500,1500
55,78,7000,1000
47,78,8000,1500
59,78,9500,1500
62,78,11000,1000
67,78,12000,1500
62,78,13500,1500
55,78,15000,1000
48,78,16000,1500
55,78,17500,1500
60,78,19000,1000
67,78,20000,1500
60,78,21500,1500
55,78,23000,1000
