note,velocity,position,duration
76,54,0,80
82,46,80,80
85,40,160,80
76,56,240,120
74,51,720,80
81,43,800,80
86,40,880,80
74,53,960,120
74,51,1440,80
80,43,1520,80
83,40,1600,80
74,50,1680,120
72,49,2160,80
79,40,2240,80
84,38,2320,80
72,51,2400,120
72,51,2880,80
79,40,2960,80
81,37,3040,80
72,49,3120,120
75,54,3570,270
79,58,3580,260
84,62,3590,250
87,64,3600,240
62,54,4320,80
66,46,4400,80
74,40,4480,80
62,50,4560,120
67,40,5040,240
62,40,5040,240
58,40,5040,240
86,54,5760,80
94,46,5840,80
98,40,5920,80
86,50,6000,240
74,54,6240,80
82,46,6320,80
86,40,6400,80
74,59,6480,240
72,50,6960,120
70,49,7080,60
72,49,7140,60
70,58,7200,240
69,49,7680,120
69,42,7860,60
72,50,7920,480
70,46,8400,240
79,54,8640,80
86,46,8720,80
91,40,8800,80
79,50,8880,240
67,54,9120,80
74,46,9200,80
79,40,9280,80
67,59,9360,240
63,50,9840,240
62,58,10080,240
70,54,10320,240
69,49,10560,117
69,42,10680,60
70,42,10720,60
69,50,10800,480
67,46,11280,240
86,54,11520,80
94,46,11600,80
98,40,11680,80
86,50,11760,240
74,54,12000,80
82,46,12080,80
86,40,12160,80
74,59,12240,240
72,50,12720,120
70,49,12840,60
72,49,12900,60
70,58,12960,240
69,49,13440,120
69,42,13620,60
72,50,13680,480
70,46,14160,240
79,54,14400,80
86,46,14480,80
91,40,14560,80
79,50,14640,240
67,54,14880,80
74,46,14960,80
79,40,15040,80
67,59,15120,240
63,50,15600,240
62,58,15840,240
70,54,16080,240
69,49,16320,117
69,42,16440,60
70,42,16480,60
69,50,16560,480
67,46,17040,240
77,54,17280,80
82,46,17360,80
89,40,17440,80
77,50,17520,240
65,54,17760,80
74,46,17840,80
77,40,17920,80
65,59,18000,240
63,50,18480,120
63,58,18720,80
65,48,18800,80
63,48,18880,80
62,55,18960,240
60,50,19200,120
60,45,19380,60
63,50,19440,480
62,46,19920,240
74,54,20160,80
79,46,20240,80
86,40,20320,80
74,50,20400,240
62,54,20640,80
67,46,20720,80
74,40,20800,80
62,59,20880,240
60,50,21360,120
60,58,21600,80
62,48,21680,80
60,48,21760,80
58,55,21840,240
57,50,22080,120
57,45,22240,60
60,50,22320,480
58,46,22800,240
67,54,23040,80
75,46,23120,80
79,40,23200,80
67,57,23280,240
68,59,23760,80
75,50,23840,80
80,44,23920,80
68,50,24000,240
66,64,24480,80
72,55,24560,80
78,48,24640,80
66,68,24720,240
67,67,25200,80
74,57,25280,80
79,50,25360,80
67,57,25440,240
63,73,25920,80
67,63,26000,80
75,55,26080,80
63,78,26160,240
60,80,26640,80
67,69,26720,80
72,59,26800,80
60,85,26880,240
62,85,27360,80
67,74,27440,80
62,64,27520,80
61,86,27600,120
62,93,27840,120
67,96,28080,120
67,87,28320,120
70,87,28320,120
79,103,28320,120
86,54,28800,120
74,50,29040,120
79,54,29520,120
67,50,29760,120
74,54,30240,120
62,50,30480,120
74,54,30960,720
71,34,31200,240
67,28,31200,240
71,34,31440,240
67,28,31440,240
76,59,31680,720
71,38,31920,240
67,31,31920,240
71,38,32160,240
67,31,32160,240
76,64,32400,720
69,33,32640,240
66,28,32640,240
69,33,32880,240
66,28,32880,240
74,54,33120,120
74,70,33360,80
81,49,33440,80
86,49,33520,80
74,63,33600,240
74,54,33840,720
67,34,34080,240
64,28,34080,240
67,34,34320,240
64,28,34320,240
72,59,34560,480
67,38,34800,480
64,31,34800,480
74,45,35040,240
72,61,35280,720
66,33,35520,240
63,28,35520,240
66,33,35760,240
63,28,35760,240
71,54,36000,120
71,65,36240,80
78,46,36320,80
83,46,36400,80
71,65,36480,240
71,54,36720,720
67,34,36960,240
62,28,36960,240
67,34,37200,240
62,28,37200,240
67,59,37440,720
62,34,37680,240
59,28,37680,240
62,34,37920,240
59,28,37920,240
69,64,38160,720
63,33,38400,240
67,39,38400,240
63,33,38640,240
67,39,38640,240
72,68,38880,720
67,34,39120,240
69,41,39120,240
67,34,39360,240
69,41,39360,240
71,64,39600,720
62,33,39840,240
67,39,39840,240
62,32,40080,240
67,39,40080,240
69,63,40320,720
62,34,40560,240
60,29,40560,240
62,34,40800,240
60,28,40800,240
67,63,41040,720
59,27,41280,240
62,32,41280,240
59,25,41520,240
62,30,41520,240
62,28,41760,240
59,22,41760,240
62,25,42000,240
59,22,42000,240
62,22,42240,240
59,19,42240,240
74,54,42480,720
71,34,42720,240
67,28,42720,240
71,34,42960,240
67,28,42960,240
76,59,43200,720
71,38,43440,240
67,31,43440,240
71,38,43680,240
67,31,43680,240
76,64,43920,720
69,33,44160,240
66,28,44160,240
69,33,44400,240
66,28,44400,240
74,54,44640,120
74,68,44880,80
81,49,44960,80
86,49,45040,80
74,63,45120,240
74,54,45360,720
67,34,45600,240
64,28,45600,240
67,34,45840,240
64,28,45840,240
72,59,46080,480
67,38,46320,480
64,31,46320,480
74,45,46560,240
72,61,46800,720
66,33,47040,240
63,28,47040,240
66,33,47280,240
63,28,47280,240
71,54,47520,120
71,66,47760,80
78,46,47840,80
83,46,47920,80
71,65,48000,240
71,54,48240,720
67,34,48480,240
62,28,48480,240
67,34,48720,240
62,28,48720,240
67,59,48960,720
62,34,49200,240
59,28,49200,240
62,34,49440,240
59,28,49440,240
69,64,49680,720
63,33,49920,240
67,39,49920,240
63,33,50160,240
67,39,50160,240
72,68,50400,720
67,34,50640,240
69,41,50640,240
67,34,50880,240
69,41,50880,240
71,64,51120,720
62,33,51360,240
67,39,51360,240
62,32,51600,240
67,39,51600,240
69,63,51840,720
62,34,52080,240
60,29,52080,240
62,34,52320,240
60,28,52320,240
67,63,52560,720
59,27,52800,240
62,32,52800,240
59,25,53040,240
62,30,53040,240
55,51,53520,120
67,61,53520,120
55,43,53760,120
67,52,53760,120
67,65,54000,120
55,55,54000,120
55,48,54240,120
67,58,54240,120
55,40,54480,120
67,47,54480,120
63,49,54720,720
55,48,54960,120
67,57,54960,120
55,41,55200,120
67,48,55200,120
62,53,55440,720
55,45,55680,120
67,53,55680,120
67,41,55920,120
55,35,55920,120
60,54,56160,720
67,48,56400,120
55,41,56400,120
67,41,56640,120
55,35,56640,120
67,68,56880,240
58,56,56880,240
55,56,56880,240
62,47,57600,240
57,39,57600,240
54,39,57600,240
55,39,58320,240
86,54,59040,80
94,46,59120,80
98,40,59200,80
86,50,59280,240
74,54,59520,80
82,46,59600,80
86,40,59680,80
74,59,59760,240
72,50,60240,120
70,49,60360,60
72,49,60420,60
70,58,60480,240
69,49,60960,120
69,42,61140,60
72,50,61200,480
70,46,61680,240
79,54,61920,80
86,46,62000,80
91,40,62080,80
79,50,62160,240
67,54,62400,80
74,46,62480,80
79,40,62560,80
67,59,62640,240
63,50,63120,240
62,58,63360,240
70,54,63600,240
69,49,63840,117
69,42,63960,60
70,42,64000,60
69,50,64080,480
67,46,64560,240
