note,velocity,position,duration
76,45,960,480
77,46,1440,360
76,45,1800,120
74,45,1920,480
77,48,2400,476
77,47,2880,960
76,43,3840,480
74,42,4320,80
76,43,4400,80
74,44,4480,80
73,45,4560,240
74,47,4800,240
75,45,5040,240
76,50,5280,240
71,50,5520,240
74,54,5760,960
72,45,6720,480
69,62,7200,160
71,57,7360,160
69,57,7520,160
68,63,7680,240
69,67,8160,240
71,70,8640,240
76,72,9120,960
71,76,10080,240
67,73,10320,240
64,76,10560,240
71,71,10800,240
63,73,11040,480
64,76,11520,960
76,45,12480,480
77,46,12960,360
76,45,13320,120
74,45,13440,480
77,48,13920,474
77,47,14400,960
76,43,15360,480
74,42,15840,80
76,43,15920,80
74,44,16000,80
73,45,16080,240
74,47,16320,240
75,45,16560,240
76,47,16800,240
71,42,17040,114
71,47,17160,120
74,51,17280,960
72,45,18240,480
69,46,18720,160
70,43,18880,160
69,43,19040,160
67,47,19200,480
69,51,19680,480
70,53,20160,480
74,54,20640,480
69,48,21600,360
68,44,21960,120
62,40,22080,480
64,48,22080,480
68,45,22560,480
62,38,22560,480
60,39,23040,480
69,46,23040,960
76,45,24000,480
77,46,24480,360
76,45,24840,120
74,45,24960,480
77,48,25440,480
77,47,25920,960
76,43,26880,480
74,42,27360,80
76,43,27440,80
74,44,27520,80
73,45,27600,240
74,47,27840,240
75,45,28080,240
76,53,28320,240
71,48,28560,240
74,58,28800,960
72,45,29760,480
69,62,30240,160
71,57,30400,160
69,57,30560,160
68,63,30720,240
69,67,31200,240
71,70,31680,240
76,72,32160,960
71,76,33120,240
67,73,33360,240
64,76,33600,240
71,71,33840,240
63,73,34080,480
64,76,34560,960
76,45,35520,480
77,46,36000,360
76,45,36360,120
74,45,36480,480
77,48,36960,480
77,47,37440,960
76,43,38400,480
74,42,38880,80
76,43,38960,80
74,44,39040,80
73,45,39120,240
74,47,39360,240
75,45,39600,240
76,47,39840,240
71,42,40080,114
71,42,40200,120
74,46,40320,960
72,45,41280,480
69,46,41760,160
70,43,41920,160
69,43,42080,160
67,47,42240,480
69,54,42720,480
70,62,43200,480
74,59,43680,480
69,48,44640,360
68,44,45000,120
62,40,45120,480
64,48,45120,480
68,45,45600,480
62,38,45600,480
60,39,46080,480
69,46,46080,960
71,51,47040,480
72,52,47520,240
74,53,47760,240
75,55,48000,475
75,60,48480,360
77,55,48840,120
75,62,48960,960
74,54,49920,480
72,52,50400,240
74,54,50640,240
75,57,50880,476
75,66,51360,360
77,62,51720,120
75,76,51840,960
74,67,52800,480
82,86,53280,960
73,66,54240,480
81,76,54720,960
72,62,55680,480
80,76,56160,960
71,56,57120,480
79,67,57600,720
70,54,58320,240
69,45,58560,240
76,45,58800,240
77,46,59040,240
76,45,59280,240
74,45,59520,480
77,48,60000,480
77,47,60480,960
76,43,61440,480
74,42,61920,80
76,43,62000,80
74,44,62080,80
73,45,62160,240
74,47,62400,240
75,45,62640,240
76,49,62880,240
71,46,63120,240
74,55,63360,960
72,45,64320,480
69,46,64800,160
70,43,64960,160
69,43,65120,160
67,47,65280,480
69,51,65760,480
70,53,66240,480
74,54,66720,480
69,48,67680,360
68,44,68040,120
62,40,68160,480
64,48,68160,480
68,45,68640,480
62,38,68640,480
60,39,69120,480
69,46,69120,960
71,51,70080,480
72,52,70560,240
74,53,70800,240
75,55,71040,476
75,60,71520,360
77,55,71880,120
75,62,72000,960
74,54,72960,480
72,52,73440,240
74,54,73680,240
75,57,73920,476
75,66,74400,360
77,62,74760,120
75,76,74880,960
74,62,75840,480
82,81,76320,960
73,62,77280,480
81,76,77760,960
72,55,78720,480
80,71,79200,960
71,42,80160,480
79,56,80640,720
70,47,81360,240
69,45,81600,240
76,45,81840,240
77,46,82080,240
76,45,82320,240
74,45,82560,480
77,48,83040,474
77,47,83520,960
76,43,84480,480
