note,velocity,time
76,42,120
77,39,70
79,39,70
81,40,70
83,40,70
84,41,70
86,42,70
88,49,30
88,42,70
89,42,70
91,44,70
93,45,70
95,46,70
96,48,70
98,49,70
100,51,70
76,42,240
79,42,120
81,39,70
83,39,70
84,40,70
86,40,70
88,41,70
89,42,70
91,49,30
91,41,70
93,42,70
95,42,70
96,44,70
98,45,70
100,48,70
101,49,70
103,51,70
72,42,240
74,42,120
76,39,70
77,39,70
79,40,70
81,40,70
83,41,70
84,42,70
86,49,30
86,42,70
88,44,70
89,45,70
91,46,70
93,48,70
95,49,70
96,50,70
98,51,70
76,42,240
72,42,120
74,39,70
76,39,70
77,40,70
79,40,70
81,41,70
83,42,70
84,45,30
84,39,70
86,40,70
88,40,70
89,41,70
91,42,70
93,42,70
95,44,70
96,46,70
72,59,240
69,60,120
71,56,70
72,56,70
74,58,70
76,58,70
77,59,70
79,61,70
81,64,30
81,56,70
83,58,70
84,58,70
86,59,70
88,60,70
89,61,70
91,62,70
93,67,70
72,56,240
67,55,120
69,49,70
71,49,70
72,50,70
74,50,70
76,51,70
77,55,70
79,58,30
79,49,70
81,50,70
83,50,70
84,51,70
86,55,70
88,55,70
89,56,70
91,59,70
72,50,240
74,50,120
76,46,70
77,46,70
79,47,70
81,47,70
83,49,70
84,51,70
86,59,30
86,51,70
88,53,70
89,55,70
91,56,70
93,58,70
95,59,70
96,59,70
98,60,70
76,49,240
72,49,120
74,45,70
76,45,70
77,46,70
79,46,70
81,47,70
83,49,70
84,51,30
84,45,70
86,46,70
88,46,70
89,47,70
91,49,70
93,49,70
95,50,70
96,53,70
76,42,120
77,39,70
79,39,70
81,40,70
83,40,70
84,41,70
86,42,70
88,49,30
88,42,70
89,42,70
91,44,70
93,45,70
95,46,70
96,48,70
98,49,70
100,51,70
76,42,240
79,42,120
81,39,70
83,39,70
84,40,70
86,40,70
88,41,70
89,42,70
91,49,30
91,41,70
93,42,70
95,42,70
96,44,70
98,45,70
100,48,70
101,49,70
103,51,70
72,42,240
74,42,120
76,39,70
77,39,70
79,40,70
81,40,70
83,41,70
84,42,70
86,49,30
86,42,70
88,44,70
89,45,70
91,46,70
93,48,70
95,49,70
96,50,70
98,51,70
76,42,240
72,42,120
74,39,70
76,39,70
77,40,70
79,40,70
81,41,70
83,42,70
84,45,30
84,39,70
86,40,70
88,40,70
89,41,70
91,42,70
93,42,70
95,44,70
96,46,70
72,61,240
69,60,120
71,56,70
72,56,70
74,58,70
76,58,70
77,59,70
79,61,70
81,64,30
81,56,70
83,58,70
84,58,70
86,59,70
88,60,70
89,61,70
91,62,70
93,67,70
72,58,240
67,55,120
69,49,70
71,49,70
72,50,70
74,50,70
76,51,70
77,55,70
79,58,30
79,49,70
81,50,70
83,50,70
84,51,70
86,55,70
88,55,70
89,56,70
91,59,70
72,50,240
74,50,120
76,46,70
77,46,70
79,47,70
81,47,70
83,49,70
84,51,70
86,59,30
86,51,70
88,53,70
89,55,70
91,56,70
93,58,70
95,59,70
96,59,70
98,60,70
76,49,240
72,49,120
74,45,70
76,45,70
77,46,70
79,46,70
81,47,70
83,49,70
84,51,30
84,45,70
86,46,70
88,46,70
89,47,70
91,49,70
93,49,70
95,50,70
96,53,70
74,58,60
86,69,120
84,64,70
83,64,70
81,64,70
79,64,70
78,64,70
76,64,70
74,69,30
74,61,70
72,61,70
71,60,70
69,60,70
67,59,70
66,59,70
64,59,70
62,59,70
83,61,240
91,69,120
90,64,70
88,64,70
86,64,70
84,64,70
83,64,70
81,64,70
79,69,30
79,61,70
78,61,70
76,60,70
74,60,70
72,59,70
71,59,70
69,59,70
67,59,70
83,69,180
74,67,60
86,79,120
84,69,70
83,69,70
81,68,70
79,68,70
78,68,70
76,64,70
74,69,30
74,61,70
72,61,70
71,60,70
69,60,70
67,59,70
66,59,70
64,59,70
62,59,70
81,67,240
83,74,120
84,64,70
86,64,70
88,62,70
90,62,70
91,61,70
93,58,70
95,69,30
79,61,70
81,61,70
83,60,70
84,58,70
86,56,70
88,56,70
90,55,70
91,66,70
74,60,70
76,58,70
78,56,70
79,55,70
81,55,70
83,53,70
84,52,70
86,57,120
84,44,70
83,44,70
81,44,70
79,44,70
78,44,70
76,44,70
74,46,30
74,41,70
72,41,70
71,41,70
69,41,70
67,40,70
66,40,70
64,39,70
62,39,70
83,41,240
95,53,120
93,49,70
91,47,70
90,46,70
88,44,70
86,44,70
84,44,70
83,46,30
83,41,70
81,41,70
79,41,70
78,41,70
76,40,70
74,40,70
72,39,70
71,39,70
83,64,180
74,60,60
86,72,120
84,61,70
83,61,70
81,60,70
79,60,70
78,60,70
76,58,70
74,62,30
74,55,70
72,55,70
71,55,70
69,55,70
67,53,70
66,53,70
64,51,70
62,51,70
81,66,180
83,59,60
79,69,60
55,62,70
57,64,70
59,66,70
60,66,70
62,68,70
64,68,70
65,78,30
67,62,70
69,63,70
71,64,70
72,64,70
74,66,70
76,67,70
77,79,30
67,64,70
69,64,70
71,66,70
72,68,70
74,72,70
75,78,70
76,88,120
77,68,70
79,68,70
81,70,70
83,70,70
84,71,70
86,73,70
88,83,30
88,73,70
89,73,70
91,74,70
93,77,70
95,78,70
96,80,70
98,81,70
100,86,70
76,73,240
79,73,120
81,68,70
83,68,70
84,70,70
86,70,70
88,71,70
89,73,70
91,83,30
91,71,70
93,73,70
95,73,70
96,74,70
98,77,70
100,79,70
101,80,70
103,84,70
72,73,240
74,73,120
76,68,70
77,68,70
79,70,70
81,70,70
83,71,70
84,73,70
86,83,30
86,73,70
88,74,70
89,75,70
91,78,70
93,79,70
95,81,70
96,82,70
98,85,70
76,73,240
72,73,120
74,68,70
76,68,70
77,70,70
79,70,70
81,71,70
83,73,70
84,79,30
84,68,70
86,70,70
88,70,70
89,71,70
91,73,70
93,73,70
95,77,70
96,81,70
72,70,240
