note,velocity,time
55,25,120
60,26,120
62,24,120
64,29,120
55,27,120
60,27,120
64,26,120
62,31,120
53,29,120
60,30,120
62,27,120
65,34,120
57,31,120
59,32,120
65,30,120
64,37,120
55,34,120
60,34,120
64,32,120
67,37,120
59,34,120
60,34,120
67,32,120
65,38,120
57,35,120
60,35,120
65,32,120
69,38,120
59,35,120
65,35,120
69,32,120
67,42,120
60,36,120
64,36,120
67,30,120
72,50,180
64,38,120
67,38,120
72,32,120
74,53,180
64,42,120
67,42,120
74,35,120
72,52,180
64,41,120
67,41,120
72,38,120
71,47,180
64,38,120
67,38,120
71,27,120
69,47,180
64,35,120
67,35,120
69,27,120
67,45,180
60,35,120
64,35,120
67,27,120
65,46,180
60,35,120
64,35,120
65,27,120
64,41,350
59,32,120
60,32,120
64,27,120
62,35,350
57,32,120
60,32,120
62,27,120
67,41,350
59,32,120
64,32,120
67,33,120
69,47,350
60,37,120
64,32,120
69,27,120
64,40,350
57,32,120
60,32,120
64,27,120
62,39,350
57,32,120
60,32,120
62,27,120
60,35,350
55,32,120
57,32,120
60,27,120
59,35,350
53,32,120
55,32,120
59,27,120
52,26,120
56,26,120
56,31,120
59,32,120
59,43,120
64,43,120
64,47,120
68,47,120
69,32,120
65,32,120
62,27,120
65,32,120
62,32,120
59,27,120
69,32,120
65,32,120
62,27,120
65,34,120
62,38,120
59,38,120
72,44,120
69,35,120
65,30,120
69,38,120
65,32,120
62,27,120
65,31,120
62,32,120
59,27,120
62,30,120
59,32,120
55,25,120
69,32,120
65,32,120
62,27,120
65,32,120
62,32,120
59,27,120
69,32,120
65,32,120
62,27,120
65,33,120
62,37,120
59,38,120
72,43,120
69,40,120
65,30,120
69,40,120
65,32,120
62,27,120
65,31,120
62,32,120
59,27,120
62,30,120
59,32,120
55,25,120
59,32,120
56,32,120
52,27,120
61,38,120
58,32,120
54,27,120
59,32,120
56,32,120
52,27,120
61,39,120
58,32,120
54,27,120
59,32,120
56,32,120
52,27,120
59,32,120
56,32,120
52,27,120
59,32,120
56,32,120
52,27,120
59,30,120
56,32,120
52,27,120
57,32,120
53,32,120
50,27,120
60,39,120
56,32,120
53,27,120
57,32,120
53,32,120
50,27,120
60,38,120
56,32,120
53,27,120
57,32,120
53,32,120
50,27,120
57,32,120
53,32,120
50,27,120
57,32,120
53,32,120
50,27,120
57,30,120
53,32,120
50,27,120
59,28,120
56,28,120
50,23,120
59,26,120
56,26,120
50,22,120
59,25,120
56,24,120
50,20,120
59,22,120
56,23,120
50,19,120
55,24,120
60,24,120
62,21,120
64,28,120
55,24,120
60,24,120
64,24,120
62,31,120
53,29,120
60,30,120
62,27,120
65,34,120
57,31,120
59,32,120
65,30,120
64,37,120
55,34,120
60,34,120
64,32,120
67,37,120
59,34,120
60,34,120
67,32,120
66,38,120
57,35,120
62,35,120
66,32,120
69,38,120
60,35,120
66,35,120
69,32,120
67,39,120
62,37,120
67,40,120
71,42,120
76,62,240
71,38,120
67,38,120
