note,velocity,time
60,51,480
65,58,1200
53,26,1440
60,26,1440
64,45,240
65,48,240
69,49,240
72,52,240
77,52,230
65,38,1920
77,50,960
76,39,240
74,38,240
72,42,240
77,38,240
64,42,960
67,42,240
69,42,240
70,48,240
74,40,240
60,46,960
65,46,240
64,46,240
67,46,240
65,49,240
69,49,240
72,38,240
60,45,960
64,45,960
67,45,960
60,51,460
65,58,1200
53,26,1440
60,26,1440
64,45,240
65,48,240
69,49,240
72,52,240
81,51,230
69,33,2160
81,49,720
67,33,1440
79,46,240
77,46,240
76,46,240
77,55,240
81,45,240
74,49,240
68,44,240
77,44,240
67,48,240
76,48,720
72,38,240
64,38,240
66,38,240
75,38,240
65,44,960
74,44,480
76,42,360
72,35,120
64,38,480
72,38,960
60,51,230
65,58,1200
53,26,1440
60,26,1440
64,45,240
65,48,240
69,49,240
72,52,240
77,52,230
65,38,1920
77,50,960
76,37,240
74,36,235
72,42,240
77,38,240
64,42,960
67,40,240
69,40,240
70,46,240
74,38,240
60,46,960
65,46,240
64,46,240
67,46,240
65,49,240
69,49,240
72,38,240
60,45,960
64,45,960
67,45,960
60,51,460
65,58,1200
53,26,1440
60,26,1440
64,45,240
65,48,240
69,49,240
72,52,240
81,51,230
69,33,2160
81,49,720
67,33,1440
79,46,240
77,46,240
76,46,240
77,55,240
81,45,240
74,49,240
68,44,240
77,44,240
67,48,240
76,48,720
72,38,240
64,38,240
66,38,240
75,38,240
65,44,960
74,44,480
76,42,360
72,35,120
64,38,480
72,38,960
60,56,230
65,63,1200
53,28,1440
60,28,1440
64,49,240
65,52,240
69,53,240
72,52,240
70,41,230
75,51,230
69,41,960
75,56,960
66,48,240
69,38,480
74,50,240
72,51,240
70,55,240
74,49,240
67,53,240
63,48,240
69,48,240
62,52,240
70,52,720
67,41,240
58,41,240
60,41,240
69,41,240
67,48,720
60,41,240
62,41,237
58,41,480
62,41,480
65,42,230
70,51,1200
58,28,1440
65,28,1440
69,40,240
70,44,240
74,45,240
77,44,480
82,46,230
76,36,960
82,46,960
73,36,240
76,36,480
81,40,240
79,37,235
77,45,240
81,42,240
74,45,240
70,40,240
76,40,240
69,36,240
77,44,720
74,37,240
65,37,240
67,37,240
76,37,240
65,40,240
74,42,720
69,38,240
67,36,240
69,36,480
65,35,480
64,29,360
67,30,360
60,34,120
65,46,1200
53,23,1440
60,23,1440
64,40,240
65,43,240
69,44,240
72,46,240
77,46,230
65,34,1920
77,45,960
76,31,240
74,29,235
72,37,240
77,34,240
64,37,960
67,36,240
69,36,240
70,41,240
74,34,240
60,41,960
65,41,240
64,41,240
67,41,240
65,44,240
69,44,240
72,34,240
60,40,960
64,40,960
67,40,960
60,45,460
65,52,1200
53,23,1440
60,23,1440
64,40,240
65,43,240
69,44,240
72,46,240
81,45,230
74,29,1440
65,29,1440
81,32,720
67,29,1440
79,36,240
77,36,240
74,36,240
72,39,240
77,35,240
64,29,960
67,36,240
69,36,240
70,43,240
74,34,240
62,32,960
67,32,240
69,32,240
66,32,240
70,36,240
74,33,240
58,29,480
62,29,240
60,29,1200
64,29,240
57,29,960
65,29,960
